Internalizing Modulation – Whole Amygdala,Internalizing Modulation – Whole Amygdala,MNI Peak (mm),MNI Peak (mm),MNI Peak (mm),Max
Internalizing Modulation – Whole Amygdala,Internalizing Modulation – Whole Amygdala.1,X,Y,Z,Z
Male and Female Int +,Posterior Mid-Cingulate Cortex,−2,−4,40,4.65
Female Int +,Posterior Mid-Cingulate Cortex,2,−10,48,4.99
Female > Male Int +,Supplementary Motor Area,8,−12,70,5.06
