Unnamed: 0,Mean ± SE,Min-Max,N [%]
Age,13.87 ± 0.204,10.04–20.09,
Full-scale IQ???,108.94 ± 1.015,86–149,
ADI-R???,ADI-R???,ADI-R???,ADI-R???
Social,19.59 ± 0.388,"11,202",164 [95.35]
Verbal,15.51 ± 0.316,"45,505",167 [97.09]
RRBI,5.94 ± 0.196,0–12,142 [82.56]
