Unnamed: 0,1,2,3,4,5,6
1. Social,1.0,0.66,0.38,0.73,0.56,0.38
2. Communication,0.66,1.0,0.36,0.0,0.93,0.36
3. RRBI,0.38,0.36,1.0,0.0,0.0,1.0
4. Social residual,0.73,0.0,0.0,1.0,0.0,0.0
5. Communication residual,0.56,0.93,0.0,0.0,1.0,0.0
6. RRBI residual,0.38,0.36,1.0,0.0,0.0,1.0
