Unnamed: 0,ACC (%),SEN (%),SPE (%),PPR (%),NPR (%)
dtf,68,66.67,68.75,54.55,78.57
fc7*,80,77.78,81.25,75.0,86.67
dtf + fc7*,88,88.9,87.5,80.0,93.3
