Brain partition,Hemisphere,b,SE,p
Prefrontal vs. Occipital,Left,–0.0023,0.0005,<0.001
Prefrontal,,0.0014,0.0003,<0.001
Occipital,,−0.0009,0.0004,0.01
Prefrontal vs. Occipital,Right,–0.002,0.0005,<0.001
Prefrontal,,0.0014,0.0004,<0.001
Occipital,,−0.0006,0.0003,0.08
Prefrontal vs. Temporoparietal,Left,–0.0013,0.0005,0.007
Prefrontal,,0.0013,0.0003,<0.001
Temporoparietal,,0.00001,0.0004,0.9
