Model 1,Model 1.1,Model 2,Model 2.1
R2,0.701,R2,0.309
Total (P value),<0.001,Total (P value),<0.001
Percentage changes of FA(W1–W4)Beta (P value),0.304 (0.011),Percentage changes of FA(W4–W12)Beta (P value),0.557 (0.001)
Percentage changes of interhemispheric FC(W1–W4)Beta (P value),0.647 (<0.001),Percentage changes of interhemispheric FC(W4–W12)Beta (P value),0.086 (0.571)
