Brain regions,Side,Talairach,Talairach,Talairach,Number of,t values
Unnamed: 0_level_1,Unnamed: 1_level_1,coordinates,coordinates,coordinates,voxels,Unnamed: 6_level_1
Unnamed: 0_level_2,Unnamed: 1_level_2,x,y,z,Unnamed: 5_level_2,Unnamed: 6_level_2
PI > HC(Pre_ALFF),PI > HC(Pre_ALFF),PI > HC(Pre_ALFF),PI > HC(Pre_ALFF),PI > HC(Pre_ALFF),,
Precuneus,right,16,−56,40,71.0,10.0
Pre_ALFF > Post_ALFF,Pre_ALFF > Post_ALFF,Pre_ALFF > Post_ALFF,Pre_ALFF > Post_ALFF,Pre_ALFF > Post_ALFF,,
Precuneus,right,6,−48,51,55.0,−4.3
Post_ALFF > Pre_ALFF,Post_ALFF > Pre_ALFF,Post_ALFF > Pre_ALFF,Post_ALFF > Pre_ALFF,Post_ALFF > Pre_ALFF,,
Middle occipital gyrus,left,−29,−76,15,77.0,4.4
Pre_FC > Post_FC,Pre_FC > Post_FC,Pre_FC > Post_FC,Pre_FC > Post_FC,Pre_FC > Post_FC,,
Angular,right,57,−57,48,91.0,−3.4
Superior frontal gyrus,right,−27,66,18,37.0,−3.9
Middle frontal gyrus,right,39,27,54,49.0,−3.7
