Outcome,Predictors,b,SE,t,Sig.
Cognitive performance profile,Connectivity profile,0.123,0.037,3.343,<.001
,Age,−0.463,0.045,−10.345,<.001
,Connectivity profile × age,0.081,0.031,2.593,.01
