Unnamed: 0,Unnamed: 1,t‐value,p‐value
"WD (TR = 645, TR = 1400)","WD (TR = 1400, TR = 2500)",0.059,0.088
"WD (TR = 1400, TR = 2500)","WD (TR = 2500, TR = 645)",0.46,0.519
"WD (TR = 2500, TR = 645)","WD (TR = 645, TR = 1400)",0.286,0.387
