Seed ROI,ROIs,ROIs,Side,T-Value,Size p-FDR
Seed ROI,Vermis,Hemisphere,Side,T-Value,Size p-FDR
Increased Temporal Variability,Increased Temporal Variability,Increased Temporal Variability,Increased Temporal Variability,Increased Temporal Variability,Increased Temporal Variability
Crus 1,–,Lobule 4 5,R,3.79,0.001
Crus 1,–,Lobule 4 5,L,2.1,0.02
Crus 1,–,Lobule 9,R,3.22,0.004
Crus 2,Lobule 3,–,–,1.99,0.03
Crus 2,–,Lobule 7b,L,1.96,0.03
Crus 2,Lobule 8 (Pyramis),–,–,2.25,0.02
Crus 2,–,Lobule 10,L,2.07,0.03
Lobule 7b,–,Lobule 7b,L,2.21,0.02
Lobule 7b,–,Lobule 8,R,2.54,0.01
Lobule 7b,Lobule 8 (Pyramis),–,–,2.75,0.009
Lobule 7b,Lobule 9 (Uvula),–,–,2.52,0.01
Decreased Temporal Variability,Decreased Temporal Variability,Decreased Temporal Variability,Decreased Temporal Variability,Decreased Temporal Variability,Decreased Temporal Variability
Crus 1,–,Crus 1,L,−4.38,0.0005
Crus 1,Lobule 7,–,–,−2.64,0.01
Crus 1,Lobule 9 (Uvula),–,–,−2.64,0.01
Crus 2,–,Crus 1,L,−3.41,0.002
Crus 2,–,Crus 2,L,−2.87,0.007
Crus 2,Lobule 4 5 (Culmen),–,–,−2.78,0.007
Lobule 7b,–,Lobule 3,R,−1.98,0.03
Lobule 7b,Lobule 4 5 (Culmen),–,–,−3.21,0.004
Lobule 7b,–,Lobule 9,L,−2.81,0.008
