High anxiety subgroup greater lag than low anxiety subgroup,High anxiety subgroup greater lag than low anxiety subgroup,High anxiety subgroup greater lag than low anxiety subgroup,High anxiety subgroup greater lag than low anxiety subgroup,Unnamed: 4_level_0,Unnamed: 5_level_0
Region,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
R MFG (BA 46/9),37,38,30,–,–
L MFG (BA 46/9),−32,48,24,–,–
R ACC (ΒΑ 32),5,19,26,–,–
