Variable,Unnamed: 1
"Body mass index (BMI), mean (SD), kg/m2",25.86 (4.41)
"Age, mean (SD), years",28.61 (3.75)
"Female (Sex), N (%)",223 (52.10)
"Education, mean (SD), years",14.86 (1.80)
"Handedness, mean (SD)b",64.65 (45.24)
RaceN(%),
White,310 (72.43)
Other,118 (27.57)
