Name of the site,Category,Gender (M/F),Age
NYU,ASD (N = 71),66/5,17.59 ± 7.84
NYU,HC (N = 93),79/14,16.49 ± 7.68
UM,ASD (N = 48),43/5,17.05 ± 8.36
UM,HC (N = 65),56/9,17.35 ± 7.12
UCLA,ASD (N = 36),28/8,16.27 ± 6.48
UCLA,HC (N = 38),31/7,14.65 ± 4.97
