Unnamed: 0,HC,ATSA,t/χ2,p
Sample size,21,16,,
Age (years),29.52 ± 2.54,28.00 ± 4.24,1.36,0.18
Education,,,21.45,< 0.001
Junior high school,1,9,,
Senior high school,0,2,,
College degree,7,5,,
Bachelor degree,13,0,,
Mean FD,0.06 ± 0.03,0.05 ± 0.02,1.49,0.14
ASID,,7.13 ± 1.93,,
