Clinical group,TD female,TD male,Paired t-test
ASD female,0.3321 (0.2354),0.3675 (0.2065),t(22) = 2.3457 P < 0.0284*
ASD male,0.2552 (0.2010),0.2981 (0.1722),t(55) = 3.3597 P < 0.0014*
