Global graph metrics,Local graph metrics
Clustering coefficient Cp,Betweenness centrality
Characteristic path length Lp,Degree centrality
Normalized clustering coefficient γ,Nodal clustering coefficient
Normalized characteristic path length λ,Local efficiency
Small-world σ,Shortest path length
Network efficiency,Participant coefficient
Modularity,Within-module degree
