Unnamed: 0,N,M (±SD)
Age,106,24.4 (±4.2)
Gender (male/female),106,42/64
ERQ reappraisal (α = 0.74),101,4.8 (±0.8)
ERQ suppression (α = 0.76),102,3.4 (±1.2)
