Frequency band,Group effect,Group × node
Delta,"F = 3.781, p = 0.068, η2 = 0.174","F = 0.452, p = 0.786, η2 = 0.025"
Theta,"F = 0.03, p = 0.958, η2 = 0.000","F = 0.325, p = 0.819, η2 = 0.018"
Alpha,"F = 2.603, p = 0.124, η2 = 0.126","F = 0.547, p = 0.677, η2 = 0.030"
Beta,"F = 3.299, p = 0.086, η2 = 0.155","F = 0.661, p = 0.641, η2 = 0.035"
Gamma,"F = 0.480, p = 0.497, η2 = 0.026","F = 0.844, p = 0.492, η2 = 0.045"
