Smoothing (FWHM),FWE-correction level,Peak,Peak,Peak,Peak,Cluster,Cluster,Correlations,Correlations,Correlations
Smoothing (FWHM),FWE-correction level,Peak,Peak,Peak,Peak,Cluster,Cluster,Memory scores,Memory scores,GM volumes
Smoothing (FWHM),FWE-correction level,t,x (mm),y (mm),z(mm),kE (nvox),Structure,r,p-corr,GM volumes
4 mm,Peak,5.9,−25,−16,−22,197,L HPC head,0.37,0.225,"L HPC head – R body: r=0.61, p-corr=0.002L – R HPC head: r=0.64, p-corr=0.002R HPC head – body: r=0.82, p-corr<0.0001"
4 mm,Peak,5.75,37,−27,−11,36,R HPC body,0.10,0.986,"L HPC head – R body: r=0.61, p-corr=0.002L – R HPC head: r=0.64, p-corr=0.002R HPC head – body: r=0.82, p-corr<0.0001"
4 mm,Peak,5.57,31,−13,−17,61,R HPC head,0.15,0.986,"L HPC head – R body: r=0.61, p-corr=0.002L – R HPC head: r=0.64, p-corr=0.002R HPC head – body: r=0.82, p-corr<0.0001"
4 mm,Cluster size,5.9,−25,−16,−22,2156,L HPC head/body,0.32,0.424,"R-L HPC: r=0.64, p-corr=0.005R HPC – R Thal: r=0.54, p-corr=0.035Rest of p-corr>0.15"
4 mm,Cluster size,5.75,37,−27,−11,2721,R HPC head/body,0.03,>0.999,"R-L HPC: r=0.64, p-corr=0.005R HPC – R Thal: r=0.54, p-corr=0.035Rest of p-corr>0.15"
4 mm,Cluster size,5.22,19,−28,5,3085,R Thal,0.34,0.424,"R-L HPC: r=0.64, p-corr=0.005R HPC – R Thal: r=0.54, p-corr=0.035Rest of p-corr>0.15"
4 mm,Cluster size,4.74,-2,−39,40,2086,L/R PCC/PrCu,−0.02,>0.999,"R-L HPC: r=0.64, p-corr=0.005R HPC – R Thal: r=0.54, p-corr=0.035Rest of p-corr>0.15"
8 mm,Peak,5.38,32,−15,−16,592,R HPC head/body,0.35,0.267,"R-L HPC: r=0.65, p-corr=0.0006R HPC – R Thal: r=0.55, p-corr=0.006L HPC – R Thal: r=0.46, p-corr=0.02"
8 mm,Peak,5.19,−27,−15,−20,200,L HPC head/body,0.11,0.599,"R-L HPC: r=0.65, p-corr=0.0006R HPC – R Thal: r=0.55, p-corr=0.006L HPC – R Thal: r=0.46, p-corr=0.02"
8 mm,Peak,4.91,6,−12,7,179,R MD Thal,0.36,0.267,"R-L HPC: r=0.65, p-corr=0.0006R HPC – R Thal: r=0.55, p-corr=0.006L HPC – R Thal: r=0.46, p-corr=0.02"
8 mm,Cluster size,5.38,32,−15,−16,12 710,L/R HPC/Thal,0.31,0.294,"r=0.32, p-corr=0.13"
8 mm,Cluster size,4.16,-1,−38,38,6606,L/R PCC/PrCu,−0.03,0.900,"r=0.32, p-corr=0.13"
