Seed,Seed,Region,Hem/BA,T,Z,Voxels,Coordinate MNI (mm),Coordinate MNI (mm),Coordinate MNI (mm)
Seed,Seed.1,Region,Hem/BA,T,Z,Voxels,X,Y,Z
Increase,Cau(L),Middle frontal gyrus,"R/BA9,6",4.34,3.59,566,50,24,34
,Glo(R),Superior frontal gyrus,"L/BA6,10",4.99,3.9,375,−26,27,−2
Reduce,Tha(L),Temporal lobe,L/BA39,6.12,4.44,510,−44,−58,22
,Cau(L),Superior temporal gyrus,"L/BA39,40",5.95,4.37,489,−42,−58,28
,,Limbic lobe,L/BA31,4.47,3.62,379,−4,−52,32
