Model,Accuracy (%),Sensitivity (%),Specificity (%)
FCLs0,62.0,55.0,66.7
FCLs128,70.0,65.0,73.3
FCLs512,80.0,75.0,83.3
FCLs1024,82.0,90.0,76.7
