Model,Transfer Strategy,Accuracy (%),Sensitivity (%),Specificity (%)
VGG,Freeze,68.0,60.0,73.3
,Fine-tune,82.0,90.0,76.7
ResNet,Freeze,68.0,65.0,70.0
,Fine-tune,80.0,80.0,80.0
