FC,F,p value,SSD-PD < controls,SSD-PD < PD
Between DMN areas,Between DMN areas,Between DMN areas,Between DMN areas,Between DMN areas
PCC-RSFS,6.8,0.002,0.006,0.007
PCC-LSFS,4.2,0.02,n.s.,0.02
RIPL-RSFS,5.2,0.008,0.04,0.01
LIPL-LSFS,6.6,0.003,0.004,0.01
RLPC-LLPC,8.0,0.001,0.001,0.03
,,,,
DMN-salience,DMN-salience,DMN-salience,DMN-salience,DMN-salience
PCC-ACC,3.3,0.04,n.s.,0.05
RMFG-RAI,5.0,0.01,0.04,0.01
