Dataset name,Acquisition/Reference,Subject number,Sessions per subject,Session duration
Dataset A1,Day2day project (???),6,40–50,5 min
Dataset A2,Day2day project (???),50,1,5 min
Dataset B,CoRR (???),30,10,10 min
Dataset C,(???; ???),19,3 (rest) and 2 (movie),10 min
