SWCGL,20 s,20 s.1,40 s,40 s.1,60 s,60 s.1,80 s,80 s.1,100 s,100 s.1,120 s,120 s.1,140 s,140 s.1
Number of windows,281,281,261,261,241,241,221,221,201,201,181,181,161,161
F1(mean ± SD),0.67 ± 0.05,0.67 ± 0.05,0.68 ± 0.05,0.68 ± 0.05,0.69 ± 0.04,0.69 ± 0.04,0.70 ± 0.01,0.70 ± 0.01,0.71 ± 0.02,0.71 ± 0.02,0.69 ± 0.06,0.69 ± 0.06,0.65 ± 0.05,0.65 ± 0.05
Dynamic detection(mean ± SD),54.5 ± 8.2%,54.5 ± 8.2%,55.3 ± 5.5%,55.3 ± 5.5%,56.1 ± 7.9%,56.1 ± 7.9%,57.3 ± 8.1%,57.3 ± 8.1%,58.5 ± 6.2%,58.5 ± 6.2%,57 ± 4.9%,57 ± 4.9%,53.1 ± 6.9%,53.1 ± 6.9%
TRUEsparsit,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Estimatedsparsity(mean ± SD),0.57 ± 0.04,0.57 ± 0.04,0.54 ± 0.08,0.54 ± 0.08,0.53 ± 0.06,0.53 ± 0.06,0.54 ± 0.09,0.54 ± 0.09,0.55 ± 0.1,0.55 ± 0.1,0.54 ± 0.08,0.54 ± 0.08,0.54 ± 0.12,0.54 ± 0.12
Confusion matrix,P,N,P,N,P,N,P,N,P,N,P,N,P,N
P,"1,931","1,071",1886,"1,111",1785,"1,035","1,652",900,"1,519",766,"1,325",751,"1,125",744
N,854,"3,169",700,"2,828",604,"2,601",538,"2,435",473,"2,267",469,1980,471,"1,685"
