T‐SWCGL,20 s,20 s.1,40 s,40 s.1,60 s,60 s.1,80 s,80 s.1,100 s,100 s.1,120 s,120 s.1,140 s,140 s.1
Number of windows,281,281,261,261,241,241,221,221,201,201,181,181,161,161
F1(mean ± SD),0.72 ± 0.03,0.72 ± 0.03,0.73 ± 0.01,0.73 ± 0.01,0.74 ± 0.02,0.74 ± 0.02,0.75 ± 0.03,0.75 ± 0.03,0.76 ± 0.01,0.76 ± 0.01,0.74 ± 0.04,0.74 ± 0.04,0.7 ± 0.07,0.7 ± 0.07
Dynamic detection(mean ± SD),66.8 ± 10.3%,66.8 ± 10.3%,67.5 ± 8.9%,67.5 ± 8.9%,67.7 ± 11.3%,67.7 ± 11.3%,68.7 ± 7.5%,68.7 ± 7.5%,70.1 ± 8.3%,70.1 ± 8.3%,67.6 ± 6.9%,67.6 ± 6.9%,65.8 ± 12.3%,65.8 ± 12.3%
TRUEsparsit,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Estimatedsparsity(mean ± SD),0.58 ± 0.07,0.58 ± 0.07,0.58 ± 0.08,0.58 ± 0.08,0.58 ± 0.06,0.58 ± 0.06,0.59 ± 0.05,0.59 ± 0.05,0.59 ± 0.07,0.59 ± 0.07,0.58 ± 0.05,0.58 ± 0.05,0.57 ± 0.08,0.57 ± 0.08
Confusion matrix,P,N,P,N,P,N,P,N,P,N,P,N,P,N
P,2057,894,1923,790,1807,718,"1,669",611,"1,548",535,"1,356",542,"1,158",558
N,728,"3,346",663,"3,149",581,"2,919",521,"2,724",444,"2,498",438,"2,189",438,1871
