Characteristic,NC (mean ± SD),AD (mean ± SD),Test statistic,P-value
Number,37,30,,
Age,75.84±7.09,73.14±6.51,T= −1.59,0.117???
Sex (male/female),13/16,14/23,χ2=0.329,0.566b
MMSE (NC/AD n=24/22),29.29±1.37,20.82±3.43,T=−11.18,<0.001???
CDR (NC/AD n=24/22),0.02±0.10,0.93±0.32,/,/
