Brain regions,Peak coordinates,Cluster size,Peak T value
Brain regions,x y z,Cluster size,Peak T value
Reactive aggression,Reactive aggression,Reactive aggression,Reactive aggression
Positive correlation,Positive correlation,Positive correlation,Positive correlation
STG,50 −44 23,80,4.33
Negative correlation,Negative correlation,Negative correlation,Negative correlation
______,,,
