Seed ROI,Connected region,t‐value,p‐value
Early stage > Late stage,Early stage > Late stage,Early stage > Late stage,Early stage > Late stage
R‐BA3,R‐BA18,2.222,.036
R‐BA3,R‐BA19,2.291,.031
Early stage < Late stage,Early stage < Late stage,Early stage < Late stage,Early stage < Late stage
L‐BA3,L‐BA41,−2.676,.013
