Seed ROI,Connected region,t‐value,p‐value
Early stage > Late stage,Early stage > Late stage,Early stage > Late stage,Early stage > Late stage
,,,
Early stage < Late stage,Early stage < Late stage,Early stage < Late stage,Early stage < Late stage
L‐BA4,L‐BA29,−2.184,.039
L‐BA6,R‐BA30,−2.630,.014
