Seed ROI,Connected region,t‐value,p‐value
L‐BA4,R‐BA41,2.083,0.042
L‐BA6,R‐AAL116,3.034,0.004
R‐BA4,L‐BA32,2.062,0.044
R‐BA6,L‐AAL109,2.095,0.041
