Brain area,MNI coordinates,MNI coordinates,MNI coordinates,Cluster size,Maximum t-value
Brain area,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Cluster size,Maximum t-value
Brain area,x,y,z,Cluster size,Maximum t-value
Seed: postcentral gyrus (PoCG),-48.0,-12.0,31.0,,
ADPs,,,,,
Right postcentral gyrus (Rt. PoCG),60.0,-4.0,32.0,"17,647",19.12
HCs,,,,,
Right inferior occipital gyrus (Rt. IOG),54.0,-76.0,-2.0,223,4.59
Left middle occipital gyrus (Lt. MOG),-54.0,-76.0,2.0,186,4.81
Left lingual gyrus (Lt. LiG),-22.0,-52.0,-2.0,184,5.42
Right lingual gyrus (Lt. LiG),22.0,-46.0,-2.0,153,4.69
Left fusiform gyrus (Lt. FuG),-38.0,-40.0,-22.0,154,5.99
