Unnamed: 0,ADPs,HCs,p-value
Gray matter volumes (ml),673.59±71.27,675.80±43.82,p=0.820???
White matter volumes (ml),526.75±57.54,556.96±59.60,p=0.290???
CerebroSpinal fluid (ml),351.32±71.39,324.69±53.30,p=0.221???
Total crenial volumes (ml),"1,551.66±148.47","1,557.45±124.41",p=0.917???
