Correlations,HbA1c AIC,BMI AIC
IC 4 and IC 8,6559.89,6556.45 *
IC 13 and IC 8,7430.92 *,7435.75
IC 1 and IC 11,6887.34 *,6887.90
IC 1 and IC 13,6622.77 *,6629.03
IC 13 and IC 11,6763.75 *,6772.48
