Correlations,Depression AIC,Anxiety and Depression AIC
IC 4 and IC 8,6558.98,6556.45 *
IC 13 and IC 8,7432.27 *,7435.75
IC 1 and IC 11,6891.25,6887.90 *
IC 1 and IC 13,6631.80,6629.04 *
IC 13 and IC 11,6770.57 *,6772.48
