Seed ROI,Brain region,Cluster size,MNI coordinates (X Y Z),p-FDR,Effect size T
Pu,"L + R precentral gyrus. L superior parietal, superior frontal gyrus L, frontal gyrus sup. L, lat. sup. occipital cortex L, precuneus, postcentral gyrus L + R, middle frontal gyrus L + R",1251,−20 −54 +56,<0.001,−6.32
Pu,"Superior frontal gyrus R, precentral gyrus R, middle frontal gyrus R, postcentral gyrus R, suppl. motor cortex",1064,+18 +00 +56,<0.001,−6.07
Pu,"Superior parietal lobe R, lat. sup. Occipital lobe R, precuneus, postcentral gyrus R",821,+16 −56 +52,<0.001,−5.18
Pu,Thalamus,185,−08 −18 +10,0.017,5.31
Ca,"Middle frontal gyrus R, inferior frontal gyrus R",164,+40 +22 +20,0.049,4.87
NAc,Not significant,Not significant,Not significant,Not significant,Not significant
VeP,"Superior parietal lobe L, precuneus, lat. sup. occipital lobe L, postcentral gyrus L, precentral gyrus L",449,−12 −60 +74,<0.001,−5.36
