Seed ROI,Brain region,Cluster size,MNI coordinates (X Y Z),p-FDR,Effect size T
Pu,"Precuneus, superior parietalis lobe L, postcentral gyrus L, posterior cingulate gyrus",1065,+22 −38 +46,<0.001,−6.79
Pu,"Supramarginal gyrus L, angular gyrus",384,−68 −38 +34,<0.001,−6.49
Ca,"Orbitofrontal cortex R, temporal pole R, inf. frontal gyrus R",227,+48 +20 −12,0.001,5.93
Ca,Sup. and post. temporal gyrus sup. post.,118,−62 −26 −02,0.02,5.08
Ca,"Fusiform gyrus L, lingual gyrus L",111,−20 −86 −12,"0,02",5.96
NAC,"Putamen, pallidum",144,−30 −04 +00,0.009,4.63
NAC,precuneus,113,−02 −50 +58,0.017,−4.94
VeP,Not significant,Not significant,Not significant,Not significant,Not significant
