Seed region,Brain region,Cluster size,MNI coordinates (X Y Z),P FDR,Effect size T
Pu,"Precuneus, Lobulus parietalis sup. L, lat. sup. Occipital Cortex L",218,−06 −56 +72,<0.001,6.21
Pu,superior parietalis lobe L,143,−28 −48 +26,0.006,5.43
Ca,Not significant,Not significant,Not significant,Not significant,Not significant
NAC,Lingual gyrus L + R,224,+08 −76 −02,<0.001,−4.98
NAC,"Planum temporale L, posterior temporal gyrus L",91,−46 −32 +00,0.031,−5.27
NAC,"Central operculum R, Insula R",73,+36 −16 +24,0.043,−4.83
NAC,"Lingual gyrus L + R, occipitalis pole R",71,+02 −94 −14,0.043,−4.55
VeP,"Precentral gyrus L, frontal medial gyrus L",149,−38 +00 +30,0.004,−4.88
