Unnamed: 0,Seed points,Unnamed: 2,Brain region,BA,Peak MNI,Peak MNI.1,Peak MNI.2,Cluster voxels,T
L,Inferior/middle temporal gyrus,L,Medial superior frontal gyrus,9,−9,51,33,248,−5.54
,,L,Supplementary motor area,6,−9,18,69,75,−5.12
