Unnamed: 0,Brain regions,Peak MNI,Peak MNI.1,Peak MNI.2,Cluster voxels,T,Z,P
R,Superior parietal lobule,28,−51,49,382,5.02,4.48,0.0
,Inferior parietal lobule,32,−60,47,382,4.91,4.39,0.0
