Unnamed: 0,Brain regions,Peak MNI,Peak MNI.1,Peak MNI.2,Cluster voxels,T,Z,P
R,Inferior temporal gyrus,63,−36,−22,149,5.38,4.74,0.0
,Superior parietal lobule,24,−63,50,68,5.06,4.6,0.0
L,Inferior temporal gyrus,−56,−38,−14,102,5.19,4.51,0.0
,Middle temporal gyrus,−56,−38,−14,102,5.19,4.51,0.0
