Seed,Contrast,Stats (p/t-score),"Position (x,y,z) [mm]",Anatomical position
R-ATN,TRAINING > CTRL,"p = 0.009, t = 3374","52, −28, 26",Right parietal operculum/supramarginal gyrus
,,"p = 0.009, t = 3.53","52, −32, 8",Right superior temporal gyrus
