RSN,FC – nogo hits correlation slope,Stats (p/t-score),"Position (x,y,z) [mm]",Anatomical position
R-ATN,TRAINING > CTRL,"p = 0.006, t = 3.82","46, 22, 32",r-MFG
,,"p = 0.006, t = 3.80","42, 2, 32",Precentral gyrus
