RSN,Contrast,Stats (p/t-score),"Position (x,y,z) [mm]",Anatomical position
R-ATN,TRAINING > CTRL,"p = 0.020, t = 3.81","34, 30, 28",Right MFG
L-ATN,TRAINING > CTRL,"p = 0.024, t = 3.74","−46, 10, 32",Left MFG
