REAGENT or RESOURCE,SOURCE,IDENTIFIER
Software and Algorithms,,
MATLAB,MathWorks,https://www.mathworks.com/
Connectome Workbench,???,https://www.humanconnectome.org/software/connectome-workbench
Tedana,???,https://tedana.readthedocs.io/en/latest/
FreeSurfer,???,https://surfer.nmr.mgh.harvard.edu/
Infomap,???,https://www.mapequation.org/
