Unnamed: 0_level_0,Unnamed: 1_level_0,Main anatomical,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,region in the,Size of the target,MNI coordinates of the,MNI coordinates of the,MNI coordinates of the,p-value FWErm cp < 0.05
Unnamed: 0_level_2,RS network and,target region,region in voxels,target region,target region,target region,corr. and Holm–Bonferroni
Unnamed: 0_level_3,seed region,"(L, left; R, right)",(2 × 2 × 2 mm),"(X,Y,Z)","(X,Y,Z)","(X,Y,Z)",p < 0.05 corr.
1.0,Dorsal attention IPS R,Precentral Gyrus R,141,"32,","−14,",62,0.001142
2.0,Dorsal attention IPS L,Precentral Gyrus L,130,"−38,","−26,",66,0.001859
