Battery subtest,Factor loading with g
Figure Series Completion,0.51
Law School Admission Test,0.73
Shipley‐2 Vocabulary,0.55
Applying Decision Rules,0.7
Resistance to Sunk Costs,0.34
Recognizing Social Norms,0.32
Consistency in Risk Perception,0.49
Resistance to Framing,0.43
