Battery subtest,μ,σ,Range
Figure Series Completion,2.02,1.49,[−2.95 to 5.85]
Law School Admission Test,12.6,4.03,[1–25]
Shipley‐2 Vocabulary,111.0,9.3,[73–131]
Applying Decision Rules,0.82,0.16,[0.33–1]
Resistance to Sunk Costs,4.32,0.7,[2–6]
Recognizing Social Norms,0.47,0.21,[−0.41 to 0.88]
Consistency in Risk Perception,0.74,0.11,[0.40–1]
Resistance to Framing,4.18,0.42,[2.5–5]
