Unnamed: 0,FS,LSAT,S,DR,SC,RSN,CRP,RF
Figure Series Completion,1.0,,,,,,,
Law School Admission Test,0.337,1.0,,,,,,
Shipley‐2 Vocabulary,0.156,0.486,1.0,,,,,
Applying Decision Rules,0.411,0.463,0.355,1.0,,,,
Resistance to Sunk Costs,0.225,0.187,0.028,0.213,1.0,,,
Recognizing Social Norms,0.137,0.178,0.221,0.203,0.149,1.0,,
Consistency in Risk Perception,0.213,0.347,0.223,0.346,0.196,0.176,1.0,
Resistance to Framing,0.232,0.387,0.307,0.293,0.106,0.197,0.293,1.0
