Battery subtest,Loading,PFC,P‐FIT,MD,POT,NNT
Law School Admission Test,0.73,−0.13,0.15,0.22,−0.08,0.16
Applying Decision Rules,0.7,0.01,0.08,0.12,−0.05,0.14
Shipley‐2 Vocabulary,0.55,0,0.02,0.12,0.05,0.18
Figure Series Completion,0.51,0.04,0.16,0.08,0.02,0.18
Consistency in Risk Perception,0.49,0.02,0.23,0.19,0.09,0.17
Resistance to Framing,0.43,−0.09,0.23,0.17,0.04,0.18
Resistance to Sunk Costs,0.34,0.03,0.21,0.28,0.1,0.27
Recognizing Social Norms,0.32,−0.05,−0.04,−0.25,−0.01,0.04
