Brain regions (BA),MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_1,Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere,Left hemisphere,Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere,Right hemisphere
Unnamed: 0_level_2,Cluster ID,k,MNI coordinates,MNI coordinates,MNI coordinates,Standard deviation,Standard deviation,Standard deviation,Cluster ID,k,MNI coordinates,MNI coordinates,MNI coordinates,Standard deviation,Standard deviation,Standard deviation
Unnamed: 0_level_3,Unnamed: 1_level_3,Unnamed: 2_level_3,x,y,z,x,y,z,Unnamed: 9_level_3,Unnamed: 10_level_3,x,y,z,x,y,z
Inferior parietal lobule (40)∗,37.0,7.0,–46,–48,51.0,7.7,3.9,6.3,,,,,,,,
Superior temporal gyrus (22),,,,,,,,,6.0,7.0,45.0,–60,43.0,4.5,6.6,9.0
Angular gyrus (39),,,,,,,,,33.0,9.0,54.0,–49,22.0,5.9,6.2,5.5
,,,,,,,,,,,,,,,,
