Target Region,Side,T,Beta,p-unc
Caudate,Right,3.14,0.28,0.003531
Lateral Occipital Cortex,Left,−2.51,−0.25,0.016856
Fusiform Gyrus (Temp),Right,−2.38,−0.19,0.023308
Heschl’s Gyrus,Right,−2.36,−0.19,0.024008
Fusiform Gyrus (Temp-Occ),Left,−2.23,−0.17,0.032363
Cerebellum,Left,−2.16,−0.16,0.037966
Lateral Occipital Cortex,Right,−2.04,−0.19,0.049005
