Target Region,Side,T,Beta,p-unc
Dorsal Attention. FEF,,3.39,−0.18,0.002925
Cuneal Cortex,Left,−2.99,−0.21,0.007221
Parahippocampal gyrus,Left,−2.77,−0.16,0.01172
Planum Polare,Right,−2.46,−0.16,0.0231
Fusiform Gyrus (Temp),Right,−2.37,0.13,0.028196
Parahippocampal Gyrus,Right,2.11,−0.14,0.047445
