Target Region,Side,T,Beta,p-unc
Cerebellum,Left,3.34,0.24,0.003469
Inferior Frontal Gyrus,Right,−3.32,−0.26,0.003615
Inferior Temporal Gyrus,Right,−3.02,−0.21,0.007069
Salience network (SMG),Right,−2.88,−0.29,0.009688
Occipital Pole,Left,2.36,0.18,0.029258
Dorsal Attention. FEF,,−2.25,−0.17,0.03634
Amygdala,Right,−2.13,−0.14,0.046265
