Target Region,Side,T,Beta,p-unc
Parietal Operculum,Left,2.43,0.11,0.01839
Precentral Gyrus,Left,−2.20,−0.11,0.032464
Parietal Operculum,Right,2.15,2.15,0.036042
Fusiform Gyrus (Temp-Occ),Right,−2.04,−2.04,0.046336
