Analysis,ECT,FDR/ FWER,Brain region,Cluster size (mm3),"Peak MNI Coordinates (x, y, z)",ALE value,Z score,P
ALFF voxel wise,Pre > post,FWER???,"L. CG, BA 32",584,"−8, 24, 32",0.011,4.715,<0.0001
ALFF voxel wise,Post > pre,FWER???,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
ReHo voxel cluster,Pre > post,FWER???,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
Network Based,Post > pre,FDR,"L. PCC, BA 31 R. PCC, BA 31",600,"2, −56,32 8, −56, 24",0.014 0.013,5.378 5.165,<0.001 <0.001
fALFF voxel to voxel,Pre > post,FWER,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
Seed (R. HC) to voxel,Post > pre,FWER???,R. HC and R. PHG,8864,"42, −22, −11",0.008,4.296,<0.0001
Seed (R. HC) to voxel,Post > pre,FDR,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
Seed (R. HC) to voxel,Pre > post,FDR,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
Seed (dmPFC) to voxel,Post > pre,FWER???,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
Seed (L. anterior Insula (ventral) to voxel,Post > pre,FWER???,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found,No significant clusters found
