Algorithm,Parameters
Nearest neighbors,Number of neighbors = 2
Linear SVM,Regularization parameter = 0.025
RBF SVM,Same as linear SVM
Gaussian process,Default
Decision tree,Depth = 5
Random forest,"Number of neighbors = 5, number of estimators = 10"
