Region,Cluster size (voxels),MNI coordinates,MNI coordinates,MNI coordinates,T value
Unnamed: 0_level_1,Unnamed: 1_level_1,x/mm,y/mm,z/mm,Unnamed: 5_level_1
VMHC,VMHC,VMHC,VMHC,VMHC,VMHC
Hippocampus,64,±36,−8,−14,−3.92
Middle temporal gyrus,77,±64,−22,−8,−5.45
Middle occipital gyrus,608,±34,−88,8,−5.13
Precuneus,82,±24,−54,6,−5.72
Supramarginal gyrus,88,±50,−26,20,−4.09
Precentral gyrus,72,±50,4,26,−4.12
Angular gyrus,77,±58,−58,28,−4.20
Inferior frontal gyrus,64,±50,20,24,−4.87
DC,DC,DC,DC,DC,DC
Right angular gyrus,52,52,−52,38,−4.40
Right supramarginal gyrus,52,44,−34,20,−3.79
Left angular gyrus,53,−58,−58,28,−3.70
Right postcentral gyrus,82,26,−48,56,−4.78
