Contrast,Cluster,Cohen's d,t-value,p-value,MNI coordinates,MNI coordinates,MNI coordinates,Extent of coverage
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x,y,z,Unnamed: 8_level_1
Active > Sham,1,1.6,5.2,0.011,14,46,24,Paracingulate Gyrus
,2,2.0,6.2,0.008,−34,46,28,Superior Frontal Gyrus
,3,1.9,5.9,0.01,26,42,−8,Middle Frontal Gyrus
,4,2.2,6.9,0.005,−30,34,20,"Middle Frontal Gyrus, Inferior Frontal Gyrus, pars triangularis"
,6,1.8,5.7,0.017,54,−2,44,"Middle Frontal Gyrus, Precentral Gyrus, Postcentral Gyrus"
,7,1.7,5.5,0.022,−46,46,16,Middle Frontal Gyrus
Sham > Active,2,1.4,4.5,0.015,10,26,−16,Middle Frontal Gyrus
,4,1.5,4.7,0.015,14,−2,−12,"Amygdala, Pallidum"
,5,1.7,5.3,0.014,−18,−18,28,Caudate
,6,1.5,4.6,0.014,30,30,−20,Inferior Frontal Gyrus
,7,1.6,1.2,0.01,−30,−18,12,Putamen
,9,1.9,6.1,0.001,−18,34,−20,Inferior Frontal Gyrus
,10,1.6,4.9,0.021,−38,14,28,"Middle Frontal Gyrus, Inferior Frontal Gyrus, pars opercularis, Precentral Gyrus"
,11,1.3,4.1,0.023,−2,−2,32,Cingulate Gyrus
,12,1.6,5.2,0.024,38,−70,−12,"Fusiform Gyrus, Lateral Occipital Cortex"
,13,1.0,3.1,0.017,−30,−70,−8,"Fusiform Gyrus, Lateral Occipital Cortex,"
,14,1.4,4.4,0.023,−6,−26,8,Thalamus
,15,2.0,6.4,0.021,26,−62,68,"Lateral Occipital Cortex, Superior Parietal Lobule"
,16,0.8,2.3,0.024,−38,−10,48,Precentral Gyrus
