Method,Thresholds,Loading time,Training time (epochs = 100)
DGCNN,0.2,214 s,202 s
DGCNN,0.3,103 s,195 s
DGCNN,0.4,50 s,191 s
GCN,0.2,724 s,332 s
GCN,0.3,426 s,243 s
GCN,0.4,299 s,220 s
SVM and RF,all,9 h+,8 h+
