Method,Parameters???,Value
GCN,Dropout rate,0.5
GCN,Batch_size,50
GCN,Epoch,100
GCN,Learning rate,0.001
SVM,C,100.0
SVM,Kernel,rbf
SVM,Degree,3
SVM,Gamma,0.01
RF,Max_features,2
RF,Max_depth,100
RF,Min_samples_split,200
RF,Min_samples_leaf,50
