Site,ACC (%),SPE (%),SEN (%),PRE (%)
S1,67.4,68.4,66.6,74.3
S2,64.1,63.6,64.5,68.3
S7,75.4,78.8,73.0,83.3
S8,72.9,73.0,72.8,76.1
S9,75.1,79.7,72.1,84.7
S10,75.2,74.5,75.9,76.5
S11,84.2,84.4,84.0,86.0
S13,71.1,67.3,75.9,64.9
S14,79.7,73.3,89.1,69.3
S15,61.3,59.9,62.7,62.8
S17,56.9,55.0,58.9,55.9
S19,67.7,64.2,72.1,61.6
S20,70.7,69.9,71.5,72.4
S21,80.8,74.2,90.8,70.1
S22,70.5,71.3,69.9,75.7
S23,69.1,69.4,68.9,73.7
