Thresholds,Nodes,Connectivity ratio,Edge,Edge
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,MDD,NC
0.2,160,1.7461,"4,200","4,055"
0.3,160,0.2038,"2,196","2,020"
0.4,160,0.0037,"1,027",917
