Thresholds,Learning rate,Loss,ACC
0.2,0.001,0.5105,0.6852
0.2,0.0001,0.5466,0.6964
0.3,0.001,0.5292,0.7208
0.3,0.0001,0.5367,0.6502
0.4,0.001,0.5419,0.6334
0.4,0.0001,0.5429,0.6384
